letter,word,image,font,personal
# Priority letters: A D E O W Z
a,appel,appel.png,,no
a,auto,auto.png,,no
a,abu,abu.png,,yes
d,deur,deur.png,,no
d,draak,draak.png,,no
d,druif,druif.png,,no
e,eend,eend.png,,no
o,oma,oma.png,,yes
o,opa,opa.png,,yes
o,oog,oog.png,,no
o,olifant,olifant.png,,no
w,water,water.png,,no
z,zon,zon.png,,no
z,zebra,zebra.png,,no
# Secondary letters: F K M N P S
f,fiets,fiets.png,,no
k,kat,kat.png,,no
k,koe,koe.png,,no
m,mama,mama.png,,yes
m,melk,melk.png,,no
m,muis,muis.png,,no
m,Mees,mees.png,,yes
n,neus,neus.png,,no
p,papa,papa.png,,yes
p,peer,peer.png,,no
s,sok,sok.png,,no
s,schoen,schoen.png,,no
# Other letters
b,banaan,banaan.png,,no
b,beer,beer.png,,no
b,bal,bal.png,,no
b,boom,boom.png,,no
b,bad,bad.png,,no
g,geen voorbeeld,,,no
h,huis,huis.png,,no
h,hand,hand.png,,no
i,geen voorbeeld,,,no
j,jas,jas.png,,no
l,leeuw,leeuw.png,,no
l,Lena,lena.png,,yes
l,Laura,laura.png,,yes
r,regen,regen.png,,no
t,tand,tand.png,,no
t,tafel,tafel.png,,no
t,Tata,tata.png,,yes
v,vis,vis.png,,no
v,vlinder,vlinder.png,,no
